Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,221.710007,222.320007,219.199997,221.470001,220.436661,1286000
2022-03-28,221.500000,226.339996,221.500000,226.300003,225.244125,1385700
2022-03-29,228.240005,230.820007,226.220001,228.520004,227.453781,3336200
2022-03-30,227.169998,229.639999,226.880005,227.470001,226.408661,1288400
2022-03-31,226.389999,228.089996,222.460007,222.630005,221.591263,2164500
2022-04-01,223.089996,226.750000,222.630005,226.300003,225.244125,1538800
2022-04-04,225.619995,226.820007,224.919998,226.270004,225.762955,1501700
2022-04-05,225.389999,230.199997,225.389999,229.360001,228.846024,2073300
2022-04-06,228.830002,239.320007,228.059998,239.000000,238.464432,3548600
2022-04-07,238.009995,243.360001,237.039993,241.690002,241.148407,2786400
2022-04-08,244.119995,246.139999,242.380005,245.800003,245.249191,2733500
2022-04-11,245.419998,247.149994,240.570007,240.770004,240.230469,1958900
2022-04-12,241.300003,246.149994,241.300003,243.830002,243.283600,1500600
2022-04-13,242.589996,245.929993,242.240005,245.389999,244.840103,1328100
2022-04-14,247.259995,250.300003,246.869995,248.770004,248.212540,2094300
2022-04-18,246.949997,251.539993,246.279999,250.179993,249.619370,1332900
2022-04-19,251.580002,256.690002,251.179993,255.360001,254.787766,2018300
2022-04-20,257.489990,259.369995,256.970001,259.040009,258.459534,2117800
2022-04-21,260.000000,262.209991,255.589996,255.830002,255.256714,1945900
2022-04-22,255.619995,255.619995,248.539993,248.809998,248.252441,1659200
2022-04-25,248.809998,249.759995,244.550003,248.490005,247.933167,1859200
2022-04-26,247.110001,250.089996,245.000000,245.000000,244.450974,1472700
2022-04-27,244.580002,247.389999,242.990005,243.500000,242.954346,1366400
2022-04-28,245.679993,247.839996,242.559998,246.580002,246.027435,1241800
2022-04-29,245.089996,245.369995,237.089996,237.529999,236.997711,1993600
2022-05-02,238.509995,239.399994,232.240005,236.169998,235.640762,1691200
2022-05-03,237.149994,239.570007,235.389999,236.960007,236.429001,1187900
2022-05-04,237.889999,242.279999,236.160004,241.910004,241.367905,1416800
2022-05-05,241.179993,241.759995,231.630005,233.639999,233.116440,1577100
2022-05-06,230.979996,235.270004,230.320007,233.559998,233.036621,2525400
2022-05-09,232.830002,237.000000,230.649994,231.369995,230.851517,2000900
2022-05-10,233.330002,235.360001,226.710007,227.500000,226.990189,1678300
2022-05-11,228.289993,232.460007,227.070007,228.369995,227.858246,1620900
2022-05-12,229.110001,233.649994,228.380005,231.860001,231.340424,2384400
2022-05-13,233.330002,233.779999,229.419998,232.330002,231.809372,1630500
2022-05-16,233.479996,235.679993,230.809998,234.169998,233.645248,1037800
2022-05-17,226.110001,228.979996,223.080002,227.550003,227.040085,2231800
2022-05-18,210.369995,210.759995,196.490005,202.259995,201.806747,5494400
2022-05-19,199.440002,205.389999,193.169998,201.330002,200.878845,3691100
2022-05-20,197.960007,199.000000,183.250000,187.600006,187.179611,4569600
2022-05-23,188.559998,194.649994,187.600006,194.419998,193.984329,2936100
2022-05-24,192.619995,197.589996,192.380005,195.949997,195.510895,2444600
2022-05-25,195.000000,197.309998,193.559998,195.339996,194.902252,3004400
2022-05-26,224.779999,229.449997,216.059998,222.130005,221.632233,6165900
2022-05-27,224.380005,230.800003,224.380005,228.380005,227.868225,2783200
2022-05-31,225.820007,226.770004,218.809998,220.339996,219.846237,3672400
2022-06-01,223.050003,224.600006,218.399994,218.820007,218.329651,1930000
2022-06-02,219.250000,224.869995,218.500000,224.720001,224.216431,1483000
2022-06-03,222.570007,229.070007,222.570007,226.949997,226.441422,1943800
2022-06-06,228.610001,232.649994,227.179993,232.470001,231.949066,1879200
2022-06-07,228.570007,235.360001,227.300003,234.320007,233.794922,1984600
2022-06-08,233.500000,236.100006,232.309998,233.729996,233.206238,984000
2022-06-09,233.910004,239.970001,233.509995,237.710007,237.177322,1855000
2022-06-10,234.710007,236.000000,231.910004,233.360001,232.837067,1417100
2022-06-13,229.649994,233.250000,227.619995,230.929993,230.412506,1934800
2022-06-14,231.080002,234.240005,227.809998,230.020004,229.504547,1463100
2022-06-15,230.199997,234.179993,229.250000,232.250000,231.729553,1457600
2022-06-16,232.839996,234.639999,229.710007,232.229996,231.709595,2257100
2022-06-17,231.639999,232.119995,227.899994,230.800003,230.282806,3634800
2022-06-21,231.570007,239.110001,231.210007,238.970001,238.434494,1700100
2022-06-22,238.100006,241.199997,236.699997,240.520004,239.981018,2040400
2022-06-23,243.110001,245.380005,240.690002,243.610001,243.064102,1719900
2022-06-24,244.869995,249.380005,244.460007,247.899994,247.344482,3158300
2022-06-27,248.000000,251.210007,245.050003,246.759995,246.207031,1429300
2022-06-28,247.179993,250.889999,243.330002,243.580002,243.034164,1280300
2022-06-29,245.009995,248.139999,243.210007,247.050003,246.496384,1116500
2022-06-30,245.309998,247.649994,243.080002,245.440002,244.889999,1510400
2022-07-01,243.289993,247.169998,243.000000,246.350006,246.350006,1085000
2022-07-05,248.539993,251.169998,243.380005,250.050003,250.050003,1846100
2022-07-06,251.020004,254.580002,248.899994,253.179993,253.179993,1359400
2022-07-07,252.869995,256.799988,252.440002,254.860001,254.860001,1837600
2022-07-08,253.460007,254.470001,250.169998,252.880005,252.880005,1459800
2022-07-11,252.789993,255.500000,252.169998,253.880005,253.880005,1021200
2022-07-12,253.839996,256.209991,246.369995,247.539993,247.539993,1747600
